เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750431517,16/5/2566,20.sCC,ส่งเเล้ว_CR
750943504,5/8/2566 0:00,18.sB+,ส่งเเล้ว_CR
670008692,23/5/2566,15.sA+,ส่งเเล้ว_CR
750747060,6/6/2566 0:00,20.sCC,ส่งเเล้ว_CR
670003806,6/6/2566 0:00,20.sCC,ส่งเเล้ว_CR
750905839,26/5/2566,21.sC+,ส่งเเล้ว_CR
750406118,15/6/2566,19.sCCC,ส่งเเล้ว_CR
750911065,16/6/2566,16.sBBB,ส่งเเล้ว_CR
nan,25/5/2566,18.sB+,ส่งเเล้ว_CR
nan,20/6/2566,19.sCCC,ส่งเเล้ว_CR
750911412,6/12/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730014657,6/12/2566 0:00,20.sCC,ส่งเเล้ว_CR
750930282,6/12/2566 0:00,18.sB+,ส่งเเล้ว_CR
750764865,22/6/2566,17.sBB,ส่งเเล้ว_CR
750854232,2/1/2566 0:00,5.BB,ส่งเเล้ว_CR
750905135,28/1/2566,6.B+,ส่งเเล้ว_CR
nan,16/3/2566,3.A+,ส่งเเล้ว_CR
nan,19/1/2566,5.BB,ส่งเเล้ว_CR
750811477,3/9/2566 0:00,8.CC,ส่งเเล้ว_CR
750764319,21/3/2566,6.B+,ส่งเเล้ว_CR
730015345,21/12/2565,10.DDD,ส่งเเล้ว_CR
750906220,20/3/2566,7.CCC,ส่งเเล้ว_CR
540002759,19/1/2566,6.B+,ส่งเเล้ว_CR
nan,19/1/2566,4.BBB,ส่งเเล้ว_CR
nan,20/1/2566,8.CC,ส่งเเล้ว_CR
750909949,20/3/2566,4.BBB,ส่งเเล้ว_CR
750844249,23/1/2566,6.B+,ส่งเเล้ว_CR
750897984,23/1/2566,5.BB,ส่งเเล้ว_CR
750801933,28/2/2566,9.C+,ส่งเเล้ว_CR
750801290,28/2/2566,6.B+,ส่งเเล้ว_CR
750803774,14/3/2566,5.BB,ส่งเเล้ว_CR
750812922,22/3/2566,4.BBB,ส่งเเล้ว_CR
610011556,2/2/2566 0:00,5.BB,ส่งเเล้ว_CR
750312453,1/5/2566 0:00,10.DDD,ส่งเเล้ว_CR
750010489,14/2/2566,9.C+,ส่งเเล้ว_CR
630003073,17/3/2566,6.B+,ส่งเเล้ว_CR
750851137,14/3/2566,6.B+,ส่งเเล้ว_CR
750851137,14/3/2566,7.CCC,ส่งเเล้ว_CR
730013483,28/2/2566,19.sCCC,ส่งเเล้ว_CR
750476674,22/2/2566,20.sCC,ส่งเเล้ว_CR
610008283,24/2/2566,19.sCCC,ส่งเเล้ว_CR
730021101,23/2/2566,21.sC+,ส่งเเล้ว_CR
680012544,24/2/2566,21.sC+,ส่งเเล้ว_CR
750848904,20/2/2566,21.sC+,ส่งเเล้ว_CR
740000459,27/2/2566,20.sCC,ส่งเเล้ว_CR
750480852,22/2/2566,19.sCCC,ส่งเเล้ว_CR
750804022,3/2/2566 0:00,20.sCC,ส่งเเล้ว_CR
730022993,3/2/2566 0:00,19.sCCC,ส่งเเล้ว_CR
750708481,3/2/2566 0:00,18.sB+,ส่งเเล้ว_CR
730013474,28/2/2566,21.sC+,ส่งเเล้ว_CR
730013474,28/2/2566,19.sCCC,ส่งเเล้ว_CR
610008276,28/2/2566,21.sC+,ส่งเเล้ว_CR
710000689,28/2/2566,19.sCCC,ส่งเเล้ว_CR
730003994,24/2/2566,19.sCCC,ส่งเเล้ว_CR
750708633,27/2/2566,19.sCCC,ส่งเเล้ว_CR
550005097,3/2/2566 0:00,20.sCC,ส่งเเล้ว_CR
750483399,3/8/2566 0:00,20.sCC,ส่งเเล้ว_CR
540001844,3/1/2566 0:00,20.sCC,ส่งเเล้ว_CR
750479968,3/2/2566 0:00,16.sBBB,ส่งเเล้ว_CR
530001708,28/2/2566,15.sA+,ส่งเเล้ว_CR
