เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
7.50758E+17,15/11/2564,19.sCCC,ส่งเเล้ว
580004367,12/9/2564 0:00,18.sB+,ส่งเเล้ว
750749848,18/11/2564,21.sC+,ส่งเเล้ว
7.50644E+17,16/12/2564 0:00,17.sBB,ส่งเเล้ว
750702166,16/12/2564 0:00,20.sCC,ส่งเเล้ว
750848904,12/9/2564 0:00,21.sC+,ส่งเเล้ว
610008283,14/12/2564,21.sC+,ส่งเเล้ว
750642364,15/11/2564,17.sBB,ส่งเเล้ว
610001370,17/11/2564,16.sBBB,ส่งเเล้ว
nan,21/12/2564,18.sB+,ส่งเเล้ว
730021227,23/6/2564,21.sC+,ส่งเเล้ว
730021227,12/9/2564 0:00,21.sC+,ส่งเเล้ว
750003910,26/11/2564,20.sCC,ส่งเเล้ว
680041844,26/11/2564,20.sCC,ส่งเเล้ว
380004172,26/11/2564,19.sCCC,ส่งเเล้ว
730035980,21/6/2564 0:00,18.sB+,ส่งเเล้ว
750812231,11/6/2564 0:00,15.sA+,ส่งเเล้ว
480002135,17/8/2564 0:00,21.sC+,ส่งเเล้ว
750776262,2/6/2564 0:00,21.sC+,ส่งเเล้ว
750853485,1/3/2564 0:00,18.sB+,ส่งเเล้ว
670000672,21/12/2564 0:00,15.sA+,ส่งเเล้ว
480003297,21/12/2564 0:00,15.sA+,ส่งเเล้ว
750749689,19/7/2564,21.sC+,ส่งเเล้ว
750016339,6/1/2564 0:00,sBBB,ส่งเเล้ว
730014624,11/2/2564 0:00,sBB,ส่งเเล้ว
480001799,17/2/2564 0:00,sBBB,ส่งเเล้ว
620001643,26/1/2564 0:00,sBB,ส่งเเล้ว
710001229,1/3/2564 0:00,sBBB,ส่งเเล้ว
760161763,21/1/2564 0:00,sA+,ส่งเเล้ว
750085385,6/1/2564 0:00,sBBB,ส่งเเล้ว
nan,18/3/2564 0:00,sCCC,ส่งเเล้ว
610003028,17/3/2564 0:00,sA+,ส่งเเล้ว
750569124,26/3/2564 0:00,sBB,ส่งเเล้ว
710001598,5/2/2564 0:00,sA+,ส่งเเล้ว
360002260,21/1/2564 0:00,sBB,ส่งเเล้ว
730014012,24/2/2564 0:00,sBB,ส่งเเล้ว
750369457,6/1/2564 0:00,sBB,ส่งเเล้ว
620002966,22/2/2564 0:00,sBB,ส่งเเล้ว
750801502,17/2/2564 0:00,sA+,ส่งเเล้ว
610012030,15/3/2564 0:00,sBBB,ส่งเเล้ว
360000916,22/2/2564 0:00,sA+,ส่งเเล้ว
750799465,18/1/2564 0:00,sBBB,ส่งเเล้ว
750807078,22/1/2564 0:00,sBBB,ส่งเเล้ว
750854177,9/3/2564 0:00,sBBB,ส่งเเล้ว
750445970,22/1/2564 0:00,sBB,ส่งเเล้ว
750746468,14/1/2564 0:00,sCCC,ส่งเเล้ว
750465352,24/2/2564 0:00,sB+,ส่งเเล้ว
730001616,7/1/2564 0:00,sBBB,ส่งเเล้ว
580002321,25/3/2564 0:00,sBB,ส่งเเล้ว
670005095,10/3/2564 0:00,sBBB,ส่งเเล้ว
730013484,16/3/2564 0:00,sBBB,ส่งเเล้ว
610005077,25/2/2564 0:00,sB+,ส่งเเล้ว
630004734,12/1/2564 0:00,sBB,ส่งเเล้ว
730022046,24/2/2564 0:00,sBB,ส่งเเล้ว
750421967,1/2/2564 0:00,sBBB,ส่งเเล้ว
620002430,5/2/2564 0:00,sBBB,ส่งเเล้ว
650000472,27/1/2564 0:00,sBB,ส่งเเล้ว
750764974,9/3/2564 0:00,sBBB,ส่งเเล้ว
750558973,12/1/2564 0:00,sBBB,ส่งเเล้ว
620001441,26/1/2564 0:00,sBBB,ส่งเเล้ว
nan,22/1/2564 0:00,sBB,ส่งเเล้ว
620003014,20/1/2564 0:00,sBB,ส่งเเล้ว
750070173,19/1/2564 0:00,sB+,ส่งเเล้ว
750015284,17/2/2564 0:00,sBBB,ส่งเเล้ว
750015248,17/2/2564 0:00,sBBB,ส่งเเล้ว
730006879,25/1/2564 0:00,sBBB,ส่งเเล้ว
750711720,22/2/2564 0:00,sBB,ส่งเเล้ว
730016951,20/1/2564 0:00,sBBB,ส่งเเล้ว
550001610,19/1/2564 0:00,sB+,ส่งเเล้ว
610018730,24/3/2564 0:00,sBBB,ส่งเเล้ว
730012109,10/3/2564 0:00,sB+,ส่งเเล้ว
750756205,6/1/2564 0:00,sBB,ส่งเเล้ว
670000864,25/2/2564 0:00,sBB,ส่งเเล้ว
750526533,18/1/2564 0:00,sBB,ส่งเเล้ว
750526533,18/1/2564 0:00,sBB,ส่งเเล้ว
750301475,21/1/2564 0:00,sBB,ส่งเเล้ว
610022591,27/1/2564 0:00,sB+,ส่งเเล้ว
730004426,22/1/2564 0:00,sBB,ส่งเเล้ว
750092730,20/1/2564 0:00,sBB,ส่งเเล้ว
310003026,15/3/2564 0:00,sBB,ส่งเเล้ว
740001222,11/1/2564 0:00,sBB,ส่งเเล้ว
740000816,3/3/2564 0:00,sB+,ส่งเเล้ว
680004084,5/1/2564 0:00,sBB,ส่งเเล้ว
500000116,10/2/2564 0:00,sDDD,ส่งเเล้ว
730001645,6/1/2564 0:00,sBB,ส่งเเล้ว
610004302,22/2/2564 0:00,sBB,ส่งเเล้ว
nan,17/3/2564 0:00,sCCC,ส่งเเล้ว
750702166,27/1/2564 0:00,sCCC,ส่งเเล้ว
750175863,15/1/2564 0:00,sCCC,ส่งเเล้ว
620000059,19/1/2564 0:00,sBB,ส่งเเล้ว
670000960,23/2/2564 0:00,sB+,ส่งเเล้ว
730001746,18/1/2564 0:00,sBB,ส่งเเล้ว
610002131,18/1/2564 0:00,sB+,ส่งเเล้ว
nan,11/1/2564 0:00,sCC,ส่งเเล้ว
310002270,19/1/2564 0:00,sCCC,ส่งเเล้ว
610007907,19/1/2564 0:00,sB+,ส่งเเล้ว
730008403,8/2/2564 0:00,sC+,ส่งเเล้ว
730008403,2/2/2564 0:00,sC+,ส่งเเล้ว
690001410,18/1/2564 0:00,sB+,ส่งเเล้ว
730014711,19/1/2564 0:00,sB+,ส่งเเล้ว
750129490,4/1/2564 0:00,sCC,ส่งเเล้ว
610001549,16/2/2564 0:00,sC+,ส่งเเล้ว
750756300,27/1/2564 0:00,sCCC,ส่งเเล้ว
750293522,13/1/2564 0:00,sCC,ส่งเเล้ว
710001308,10/3/2564 0:00,sCCC,ส่งเเล้ว
710001308,10/3/2564 0:00,sCCC,ส่งเเล้ว
750853852,10/2/2564 0:00,sC+,ส่งเเล้ว
620000263,27/1/2564 0:00,sCC,ส่งเเล้ว
750739041,7/1/2564 0:00,sCC,ส่งเเล้ว
680023737,15/3/2564 0:00,sCC,ส่งเเล้ว
680009340,21/1/2564 0:00,sC+,ส่งเเล้ว
750377440,1/2/2564 0:00,sDD,ส่งเเล้ว
680016967,5/3/2564 0:00,sCC,ส่งเเล้ว
500000116,10/2/2564 0:00,sDDD,ส่งเเล้ว
750717549,1/2/2564 0:00,sCCC,ส่งเเล้ว
750302462,21/1/2564 0:00,sCCC,ส่งเเล้ว
730015390,11/3/2564 0:00,sBB,ส่งเเล้ว
610009309,22/3/2564 0:00,sB+,ส่งเเล้ว
310011120,29/3/2564 0:00,sBBB,ส่งเเล้ว
730003802,27/4/2564 0:00,sB+,ส่งเเล้ว
590000927,23/4/2564 0:00,sCC,ส่งเเล้ว
610006015,5/4/2564 0:00,sBB,ส่งเเล้ว
750151821,20/4/2564 0:00,sB+,ส่งเเล้ว
570000177,2/4/2564 0:00,sBB,ส่งเเล้ว
750801544,12/4/2564 0:00,sCC,ส่งเเล้ว
nan,22/4/2564 0:00,sBB,ส่งเเล้ว
750648911,12/4/2564 0:00,sB+,ส่งเเล้ว
750086116,19/4/2564 0:00,sBBB,ส่งเเล้ว
750812922,22/4/2564 0:00,sA+,ส่งเเล้ว
nan,23/4/2564 0:00,sBB,ส่งเเล้ว
530002630,31/3/2564 0:00,sCCC,ส่งเเล้ว
610001474,1/2/2564 0:00,sBB,ส่งเเล้ว
nan,9/3/2564 0:00,sBB,ส่งเเล้ว
750905378,16/3/2564 0:00,sCC,ส่งเเล้ว
750477679,11/2/2564 0:00,sC+,ส่งเเล้ว
750457513,9/7/2564 0:00,sC+,ส่งเเล้ว
710001230,29/7/2564,sB+,ส่งเเล้ว
750463296,22/9/2564,sBBB,ส่งเเล้ว
750920663,23/8/2564,sBB,ส่งเเล้ว
750085385,28/8/2564,sBB,ส่งเเล้ว
7.50186E+17,7/7/2564 0:00,sBB,ส่งเเล้ว
550001610,3/5/2564 0:00,sC+,ส่งเเล้ว
6.80008E+17,16/8/2564,sB+,ส่งเเล้ว
7.5075E+17,17/8/2564,sCC,ส่งเเล้ว
6.80015E+17,16/8/2564,sCCC,ส่งเเล้ว
7.5079E+17,9/6/2564 0:00,sBB,ส่งเเล้ว
0,8/3/2564 0:00,sCC,ส่งเเล้ว
7.50186E+17,25/8/2564,sBBB,ส่งเเล้ว
7.50408E+17,20/8/2564,sBB,ส่งเเล้ว
750795156,8/2/2564 0:00,sBB,ส่งเเล้ว
5.40001E+17,24/8/2564,sBB,ส่งเเล้ว
750811686,13/8/2564,sB+,ส่งเเล้ว
750797278,9/7/2564 0:00,sDDD,ส่งเเล้ว
750289737,9/3/2564 0:00,sCC,ส่งเเล้ว
670021358,9/8/2564 0:00,sBB,ส่งเเล้ว
580002368,8/10/2564 0:00,sCC,ส่งเเล้ว
510001422,27/9/2564,sC+,ส่งเเล้ว
7.50259E+17,20/9/2564,sBB,ส่งเเล้ว
7.50731E+17,9/6/2564 0:00,sB+,ส่งเเล้ว
750307831,20/9/2564,sB+,ส่งเเล้ว
750870041_750870049,20/9/2564,17.sBB,ส่งเเล้ว
330002323,10/1/2564 0:00,17.sBB,ส่งเเล้ว
310002494,5/10/2564 0:00,16.sBBB,ส่งเเล้ว
5.30003E+17,9/10/2564 0:00,20.sCC,ส่งเเล้ว
750375083,24/8/2564,19.sCCC,ส่งเเล้ว
3.60003E+17,10/5/2564 0:00,18.sB+,ส่งเเล้ว
750798475,9/8/2564 0:00,16.sBBB,ส่งเเล้ว
750844356,10/1/2564 0:00,20.sCC,ส่งเเล้ว
750800516,9/3/2564 0:00,15.sA+,ส่งเเล้ว
750681503,10/11/2564 0:00,18.sB+,ส่งเเล้ว
680020345,30/9/2564,19.sCCC,ส่งเเล้ว
670014180,10/1/2564 0:00,20.sCC,ส่งเเล้ว
750145996,9/7/2564 0:00,19.sCCC,ส่งเเล้ว
520004795,18/10/2564,17.sBB,ส่งเเล้ว
730008678,10/4/2564 0:00,16.sBBB,ส่งเเล้ว
7.50203E+17,14/10/2564,16.sBBB,ส่งเเล้ว
750926754,14/10/2564,16.sBBB,ส่งเเล้ว
750793422,14/9/2564,19.sCCC,ส่งเเล้ว
750455320,15/10/2564,16.sBBB,ส่งเเล้ว
750270320,21/10/2564,17.sBB,ส่งเเล้ว
730014624,27/8/2564,17.sBB,ส่งเเล้ว
750717549,18/10/2564,17.sBB,ส่งเเล้ว
7.50929E+17,11/1/2564 0:00,16.sBBB,ส่งเเล้ว
7.50691E+17,28/10/2564,16.sBBB,ส่งเเล้ว
nan,10/10/2564 0:00,19.sCCC,ส่งเเล้ว
nan,19/10/2564,21.sC+,ส่งเเล้ว
7.5087E+17,11/5/2564 0:00,17.sBB,ส่งเเล้ว
680003035,10/8/2564 0:00,19.sCCC,ส่งเเล้ว
750929156,11/2/2564 0:00,19.sCCC,ส่งเเล้ว
750444583,11/5/2564 0:00,18.sB+,ส่งเเล้ว
630005953,14/10/2564,17.sBB,ส่งเเล้ว
360002795,29/10/2564,17.sBB,ส่งเเล้ว
nan,29/10/2564,21.sC+,ส่งเเล้ว
750013796,11/8/2564 0:00,17.sBB,ส่งเเล้ว
750441945,10/6/2564 0:00,17.sBB,ส่งเเล้ว
7.3001E+17,11/6/2564 0:00,18.sB+,ส่งเเล้ว
730013901,11/11/2564 0:00,17.sBB,ส่งเเล้ว
750915670,17/11/2564,16.sBBB,ส่งเเล้ว
G514300,22/11/2564,21.sC+,ส่งเเล้ว
7.50843E+17,16/11/2564,18.sB+,ส่งเเล้ว
750283624,7/12/2564 0:00,15.sA+,ส่งเเล้ว
750796702,22/11/2564,18.sB+,ส่งเเล้ว
nan,12/8/2564 0:00,20.sCC,ส่งเเล้ว
nan,29/11/2564,19.sCCC,ส่งเเล้ว
750804842,12/8/2564 0:00,22.sDDD,ส่งเเล้ว
nan,15/12/2564 0:00,19.sCCC,ส่งเเล้ว
6.80E+26,15/12/2564 0:00,17.sBB,ส่งเเล้ว
750894919,17/12/2564 0:00,19.sCCC,ส่งเเล้ว
nan,14/12/2564 0:00,17.sBB,ส่งเเล้ว
750455320,14/12/2564 0:00,16.sBBB,ส่งเเล้ว
750422038,24/12/2564,16.sBBB,ส่งเเล้ว
750572698,15/11/2564,17.sBB,ส่งเเล้ว
750175977,14/12/2564,17.sBB,ส่งเเล้ว
750675592,12/2/2564 0:00,21.sC+,ส่งเเล้ว
610002131,27/12/2564,18.sB+,ส่งเเล้ว
730001616,28/12/2564,16.sBBB,ส่งเเล้ว
750401427ละ750597356,29/12/2564,16.sBBB,ส่งเเล้ว
7.50387E+17,22/12/2564,18.sB+,ส่งเเล้ว
nan,12/2/2564 0:00,17.sBB,ส่งเเล้ว
7.40001E+17,12/8/2564 0:00,17.sBB,ส่งเเล้ว
7.50744E+17,22/12/2564,18.sB+,ส่งเเล้ว
750761701,14/9/2564 0:00,20.sCC,ส่งเเล้ว
7.5087E+17,20/9/2564 0:00,17.sBB,ส่งเเล้ว
750458174,17/5/2564 0:00,17.sBB,ส่งเเล้ว
750519930,31/5/2564 0:00,18.sB+,ส่งเเล้ว
341130583,14/12/2564 0:00,18.sB+,ส่งเเล้ว
750901234,18/11/2564 0:00,17.sBB,ส่งเเล้ว
nan,23/8/2564 0:00,17.sBB,ส่งเเล้ว
750667130,11/6/2564 0:00,17.sBB,ส่งเเล้ว
750646634,1/10/2564 0:00,20.sCC,ส่งเเล้ว
750841018,23/8/2564 0:00,17.sBB,ส่งเเล้ว
750254908,25/10/2564 0:00,18.sB+,ส่งเเล้ว
nan,2/6/2564 0:00,17.sBB,ส่งเเล้ว
nan,19/9/2564 0:00,18.sB+,ส่งเเล้ว
750382929,1/4/2564 0:00,17.sBB,ส่งเเล้ว
750747181,5/3/2564 0:00,16.sBBB,ส่งเเล้ว
750760862,30/8/2564 0:00,17.sBB,ส่งเเล้ว
nan,9/8/2564 0:00,19.sCCC,ส่งเเล้ว
750743619,21/4/2564 0:00,18.sB+,ส่งเเล้ว
710001229,24/12/2564 0:00,15.sA+,ส่งเเล้ว
