เลขที่ CIF,Grade,การจัดส่ง
530005771,sBBB,ส่งเเล้ว
730011853,sBBB,ส่งเเล้ว
730011853,sBBB,ส่งเเล้ว
760161763,sA+,ส่งเเล้ว
680032193,sBBB,ส่งเเล้ว
750552285,sBBB,ส่งเเล้ว
610009309,sBBB,ส่งเเล้ว
750395207,sBB,ส่งเเล้ว
680005202,sBBB,ส่งเเล้ว
750772953,sBB,ส่งเเล้ว
710001229,sBBB,ส่งเเล้ว
750657591,sA+,ส่งเเล้ว
610003028,sA+,ส่งเเล้ว
620000306,sBB,ส่งเเล้ว
670005095,sBBB,ส่งเเล้ว
750203061,sBB,ส่งเเล้ว
750646201,sBB,ส่งเเล้ว
550011026,sCCC,ส่งเเล้ว
550011026,sCCC,ส่งเเล้ว
550011026,sCCC,ส่งเเล้ว
390001291,sBB,ส่งเเล้ว
750884392,sBB,ส่งเเล้ว
nan,sBBB,ส่งเเล้ว
540001262,sBBB,ส่งเเล้ว
750175977,sBB,ส่งเเล้ว
730014012,sBBB,ส่งเเล้ว
360008636,sBB,ส่งเเล้ว
670003587,sBBB,ส่งเเล้ว
630001977,sBBB,ส่งเเล้ว
710001194,sBB,ส่งเเล้ว
730011161,sCCC,ส่งเเล้ว
730011161,sCCC,ส่งเเล้ว
360002759,sBB,ส่งเเล้ว
750097208,sBB,ส่งเเล้ว
540001262,sBBB,ส่งเเล้ว
730015329,sBBB,ส่งเเล้ว
750709570,sB+,ส่งเเล้ว
530009804,sA+,ส่งเเล้ว
730013478,nan,ส่งเเล้ว
750812922,sBBB,ส่งเเล้ว
730007300,sBB,ส่งเเล้ว
610005077,sBB,ส่งเเล้ว
670021515,sBBB,ส่งเเล้ว
730021356,sB+,ส่งเเล้ว
750886588,sBB,ส่งเเล้ว
310002494,sBBB,ส่งเเล้ว
750747941,sB+,ส่งเเล้ว
680003180,sBB,ส่งเเล้ว
730022634,sBB,ส่งเเล้ว
630002489,sBBB,ส่งเเล้ว
730012589,sBB,ส่งเเล้ว
730010098,sBB,ส่งเเล้ว
750750210,sBB,ส่งเเล้ว
750572698,sBB,ส่งเเล้ว
750764974,sA+,ส่งเเล้ว
530006490,sCCC,ส่งเเล้ว
750865977,sCCC,ส่งเเล้ว
750173942,sBBB,ส่งเเล้ว
750562727,sBB,ส่งเเล้ว
750441945,sBB,ส่งเเล้ว
360004266,sBB,ส่งเเล้ว
750185543,sBB,ส่งเเล้ว
380004866,sBBB,ส่งเเล้ว
750750811,sBB,ส่งเเล้ว
750750811,sBB,ส่งเเล้ว
730022046,sBBB,ส่งเเล้ว
750587163,sBB,ส่งเเล้ว
750897984,sBB,ส่งเเล้ว
