วันที่ประเมิน,วันที่ประเมิน_adjust
2563-10-06 00:00:00,2020-10-06
2563-01-28 00:00:00,2020-01-28
2563-02-24 00:00:00,2020-02-24
2563-02-19 00:00:00,2020-02-19
2563-01-30 00:00:00,2020-01-30
2563-02-27 00:00:00,2020-02-27
2563-03-30 00:00:00,2020-03-30
2563-11-25 00:00:00,2020-11-25
2563-11-06 00:00:00,2020-11-06
2563-11-05 00:00:00,2020-11-05
2563-06-20 00:00:00,2020-06-20
2563-03-13 00:00:00,2020-03-13
2563-04-13 00:00:00,2020-04-13
2563-06-10 00:00:00,2020-06-10
2563-06-30 00:00:00,2020-06-30
2563-11-20 00:00:00,2020-11-20
2563-07-30 00:00:00,2020-07-30
2563-09-29 00:00:00,2020-09-29
2563-09-29 00:00:00,2020-09-29
2563-01-28 00:00:00,2020-01-28
2563-10-07 00:00:00,2020-10-07
2563-04-27 00:00:00,2020-04-27
2563-06-04 00:00:00,2020-06-04
27/4/2563,2020-04-27
2564-01-06 00:00:00,2021-01-06
2564-01-12 00:00:00,2021-01-12
2564-03-11 00:00:00,2021-03-11
2564-03-19 00:00:00,2021-03-19
2564-03-05 00:00:00,2021-03-05
2564-01-05 00:00:00,2021-01-05
2564-01-28 00:00:00,2021-01-28
2564-01-25 00:00:00,2021-01-25
2564-05-05 00:00:00,2021-05-05
2564-04-05 00:00:00,2021-04-05
2564-03-25 00:00:00,2021-03-25
2564-03-25 00:00:00,2021-03-25
2564-02-09 00:00:00,2021-02-09
2564-09-09 00:00:00,2021-09-09
2564-09-06 00:00:00,2021-09-06
2564-01-10 00:00:00,2021-01-10
2564-07-10 00:00:00,2021-07-10
2564-03-11 00:00:00,2021-03-11
2564-01-12 00:00:00,2021-01-12
2564-08-12 00:00:00,2021-08-12
26/11/2564,2021-11-26
26/11/2564,2021-11-26
2564-09-09 00:00:00,2021-09-09
2564-04-08 00:00:00,2021-04-08
12 เม.ย. 2565,2022-04-12
243007,2022-04-29
23/1/2566,2023-01-23
2564-10-01 00:00:00,2021-10-01
2565-10-18 00:00:00,2022-10-18
2565-10-18 00:00:00,2022-10-18
2565-09-22 00:00:00,2022-09-22
2565-09-15 00:00:00,2022-09-15
2565-11-01 00:00:00,2022-11-01
28/1/2565,2022-01-28
2565-02-03 00:00:00,2022-02-03
2566-08-11 00:00:00,2023-08-11
2566-01-26 00:00:00,2023-01-26
2566-03-22 00:00:00,2023-03-22
2566-05-11 00:00:00,2023-05-11
2566-10-20 00:00:00,2023-10-20
2566-10-20 00:00:00,2023-10-20
2566-10-09 00:00:00,2023-10-09
2566-01-23 00:00:00,2023-01-23
2563-04-06 00:00:00,2020-04-06
2564-05-05 00:00:00,2021-05-05
28/10/2564,2021-10-28
2565-11-02 00:00:00,2022-11-02
243226,2022-12-04
27/10/2565,2022-10-27
27/10/2565,2022-10-27
243194,2022-11-02
19/5/2566,2023-05-19
2566-03-02 00:00:00,2023-03-02
2022-10-31 00:00:00,2022-10-31
